id,feature_name_fr,feature_level,feature_parent,feature_disembiguation_fr,feature_priority
4,Façonnage tourné ou modelé au tour,2,2,"Tourné sur âme, grosses formes",
5,Façonnage à la main,1,1,,
6,Façonnage modelé à la main,2,5,,
7,Façonnage modelé ou tournassé à la main,2,5,,
2,Façonnage au tour,1,1,,
3,Façonnage tourné au tour,2,2,,
11,Façonnage au moule,1,1,,
12,Technique de décor moulé,2,11,,
13,Façonnage coulé au moule,2,11,,
16,Pâte matrice calcaire,2,15,,
18,Pâte matrice non calcaire riche en fer,3,17,,
20,Pâte matrice sableuse,2,15,,
21,Pâte matrice artificielle,2,15,,
22,Pâte matrice porcelaine,2,15,,
23,Pâte matrice siliceuse,2,15,,
24,Pâte matrice grès,2,15,,
27,Pâte inclusions ou dégraissants mica,2,26,,
28,Pâte inclusions ou dégraissants quartz,2,26,,
29,Pâte inclusions ou dégraissants calcite ou chaux,2,26,,
30,Pâte inclusions ou dégraissants shiste,2,26,,
31,Pâte inclusions ou dégraissants végétal,2,26,,
34,Pâte inclusions ou dégraissants autre nodules ferreux,3,32,,
33,Pâte inclusions ou dégraissants autre chamotte,3,32,,
38,Aspect de surface lissage,2,36,Polissage couvrant,
41,Revêtement glaçure plombifère,2,40,,
48,Cuisson atmosphère,1,47,,
49,Cuisson atmosphère de cuisson oxydante,2,48,,
50,Cuisson atmosphère de cuisson réductrice,2,48,,
51,Cuisson atmosphère de cuisson aléatoire,2,48,Non maîtrisée,
52,Cuisson traces d'enfournement,1,47,,
53,Cuisson traces d'enfournement pernette,2,52,,
54,Cuisson traces d'enfournement emboîtement,2,52,,
58,Technique de décor polissage,2,57,Polissage ordonné,
60,"Technique de décor peinte, pigment",2,57,,
61,"Technique de décor peinte, glaçure ou émail",2,57,,
62,"Technique de décor peinte, structuré engobe",2,57,,
63,"Technique de décor peinte, mêlé engobe et glaçure",2,57,,
69,Technique de décor moulé,2,57,,
70,Technique de décor appliqué libre,2,57,"Cordon, Pétales",
71,Technique de décor moulé appliqué,2,57,Mascaron,
72,Technique de décor découpé,2,57,Ajouré,
73,Technique de décor transfert,2,57,,
75,Technique de décor a l'éponge,2,57,,
79,signes et Marques de fabrique,1,78,,
84,Marques et signes,1,78,,
25,Cuisson traces d'enfournement autre,2,15,,5.0
55,Cuisson traces d'enfournement autre,2,52,,5.0
32,Cuisson traces d'enfournement autre,2,26,,5.0
19,Pâte matrice kaolinitique,2,15,,0.0
74,Technique de décor au pochoir,2,57,,
43,Revêtement glaçure alcaline,2,40,,
44,Revêtement glaçure alcalino-plombifère,2,40,,
45,Revêtement glaçure au sel,2,40,,
65,Technique de décor imprimé,2,57,,
68,Technique de décor repoussé,2,57,,
88,Technique de décor digité,2,57,,
89,Technique de décor hachuré,2,57,,
57,Technique de décor,1,56,,
37,Revêtement sans revêtement,1,35,,
40,Revêtement glaçure ou émail,1,35,Revêtement vitreux,
39,Aspect de surface blanchissement de surface,2,36,Eclaircissement de surface,
46,Revêtement engobe,1,35,,
92,"Technique de décor peinte, lustre métallique",2,57,,
17,Pâte matrice non calcaire,2,15,,
93,Pâte inclusions ou dégraissants variées,2,26,,
1,Façonnage,0,-1,,1.0
14,Pâte,0,-1,,0.0
47,Cuisson,0,-1,,5.0
78,Marques et signes,0,-1,,6.0
35,Revêtement,0,-1,,4.0
94,Décor,0,-1,,3.0
95,Décor géométrique,1,94,,
96,Décor figuré,1,94,,
97,Décor zoomorphe,1,94,,
98,Décor végétal,1,94,,
99,Décor héraldique,1,94,,
77,Technique de décor guilloché,2,57,,
26,Pâte inclusions ou dégraissants,1,14,,2.0
15,Pâte matrice,1,14,,1.0
100,Décor calligraphique,1,94,,
64,Technique de décor excisé,2,57,Champlevé,
59,Technique de décor incisée,2,57,,
103,Technique de décor incisée et ou imprimée au peigne,2,57,,
101,Technique de décor festonné,2,57,,
67,Technique de décor imprimé avec un autre outil,3,65,,5.0
9,Technique de décor découpé,2,5,,
10,Façonnage raclé à la main,2,5,,
42,Revêtement émail,2,40,Glaçure stannifère,
104,Façonnage sur âme à la main,2,5,,
66,Technique de décor imprimé à la molette,3,65,Imprimé à la roulette,
106,Technique de décor au tampon,2,57,,
56,Technique de décor et aspect de surface,0,-1,,2.0
36,Aspect de surface,1,56,,
107,Aspect de surface surface craquelée-bleutée,2,36,,
108,Aspect de surface cannelures,2,36,,
80,signes et Marques de fabrique imprimée en creux,2,79,,
82,Technique de décor incisée,2,79,,
102,signes et Marques de fabrique moulée en relief,2,79,,
83,signes et Marques de fabrique peinte,2,79,,
81,signes et Marques de fabrique imrpimée au tampon,2,79,,
109,Marques et signes moulé en relief,2,84,,
86,Marques et signes incisé post-cuisson,2,84,,
105,Marques et signes imprimé en creux,2,84,,
91,Marques et signes incisé avant cuisson,2,84,,
87,Marques et signes peint,2,84,,
